ZIP_CODE,FHSZ,Risk Category
00012,2.4,Moderate
00016,3.0,High
00017,1.3333333333333333,Low
00018,3.0,High
00019,1.9066666666666667,Moderate
00020,2.1818181818181817,Moderate
00022,1.5,Moderate
00026,2.45,Moderate
00028,2.7096774193548385,High
00029,3.0,High
00031,2.3333333333333335,Moderate
00032,2.923076923076923,High
00033,2.9166666666666665,High
00034,3.0,High
00035,2.4871794871794872,Moderate
00037,3.0,High
00038,2.5,High
00039,2.883116883116883,High
00040,2.5714285714285716,High
00044,2.6,High
00047,2.9047619047619047,High
00048,2.9038461538461537,High
00049,2.888888888888889,High
00050,3.0,High
00051,2.6307692307692307,High
00052,2.857142857142857,High
00054,1.510204081632653,Moderate
00055,3.0,High
00057,2.0,Moderate
00065,2.727272727272727,High
90008,3.0,High
90012,3.0,High
90016,3.0,High
90024,3.0,High
90026,3.0,High
90027,3.0,High
90028,3.0,High
90029,3.0,High
90031,3.0,High
90032,3.0,High
90039,3.0,High
90041,3.0,High
90042,3.0,High
90043,3.0,High
90045,3.0,High
90046,3.0,High
90049,3.0,High
90056,3.0,High
90065,3.0,High
90068,3.0,High
90069,3.0,High
90077,3.0,High
90094,3.0,High
90095,3.0,High
90210,3.0,High
90230,3.0,High
90232,3.0,High
90263,3.0,High
90265,3.0,High
90272,3.0,High
90274,3.0,High
90275,3.0,High
90277,3.0,High
90290,3.0,High
90293,3.0,High
90402,3.0,High
90505,3.0,High
90601,2.8333333333333335,High
90602,3.0,High
90603,3.0,High
90605,3.0,High
90621,3.0,High
90631,2.9,High
90704,2.5,High
90717,3.0,High
90732,3.0,High
91001,3.0,High
91006,3.0,High
91008,3.0,High
91010,3.0,High
91011,3.0,High
91016,3.0,High
91020,3.0,High
91024,3.0,High
91030,3.0,High
91040,3.0,High
91042,3.0,High
91103,3.0,High
91105,3.0,High
91107,3.0,High
91201,3.0,High
91202,3.0,High
91205,3.0,High
91206,3.0,High
91207,3.0,High
91208,3.0,High
91214,3.0,High
91301,3.0,High
91302,2.8947368421052633,High
91304,3.0,High
91307,2.7777777777777777,High
